model_source,model_eval,dataset,data_idx,cliff_position,taxonomy_type,n_cliff_tokens,cpm_source,cpm_eval,delta_cpm
Qwen3-8B,Qwen3-0.6B,aime25,16_path_0,263,AG,10,0.9890056617237134,0.9895702807601365,0.0005646190364231307
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,545,AG,1,0.9687584206587951,0.9029171742944468,-0.0658412463643483
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,1404,AG,2,0.35495988556639363,0.45722538979827126,0.10226550423187764
Qwen3-8B,Qwen3-0.6B,aime25,21_path_0,1632,DF,3,0.9999999755779109,0.9999580602911601,-4.191528675079326e-05
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3192,DF,8,1.0000000517274534,0.9998605175635273,-0.00013953416392609164
Qwen3-8B,Qwen3-0.6B,aime25,2_path_0,3757,AG,13,0.6513551067311601,0.014088334697219857,-0.6372667720339403
Qwen3-8B,Qwen3-0.6B,aime25,4_path_0,681,AG,5,0.6790256782740657,0.7974908053179103,0.1184651270438446
Qwen3-8B,Qwen3-0.6B,aime25,8_path_0,46,DF,4,0.9999931497322131,0.9993676199569407,-0.0006255297752724154
Qwen3-8B,Qwen3-0.6B,aime25,8_path_0,330,AG,4,0.4409471040923269,0.9999379119832282,0.5589908078909014
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_1010_path_0,253,AG,7,1.0000000100514401,0.9995341190071854,-0.0004658910442547626
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_1116_path_0,236,AG,9,0.6177890893373555,0.13850711577242508,-0.47928197356493046
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_114_path_0,275,AG,7,0.6025381239796838,0.5527167658897697,-0.04982135808991406
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_13_path_0,247,AG,2,0.5203414222906504,0.1395408997701731,-0.3808005225204773
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_13_path_0,665,SS,5,0.39290327911813183,0.20068632529646924,-0.1922169538216626
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_318_path_0,11,DF,6,0.9998078720397915,0.9871600874334079,-0.012647784606383605
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_859_path_0,128,SS,1,0.18571449549834362,0.45324232145528237,0.26752782595693875
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_859_path_0,167,DF,5,1.0000000000003695,0.9999986488898683,-1.3511105011465574e-06
Qwen3-8B,Qwen3-0.6B,gsm1k,GSM1K_859_path_0,225,SS,9,0.45136478899948435,0.6799317780624627,0.2285669890629784
Qwen3-8B,Qwen3-0.6B,math500,test/algebra/1547.json_path_0,232,DF,9,1.0000000000000029,0.9999999986955056,-1.3044972879683314e-09
Qwen3-8B,Qwen3-0.6B,math500,test/algebra/2023.json_path_0,387,DF,6,0.9999998808369507,0.998673030786987,-0.0013268500499636904
Qwen3-8B,Qwen3-0.6B,math500,test/algebra/2780.json_path_0,316,SS,2,0.3637573868210862,0.8726283724141116,0.5088709855930253
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,143,AG,11,0.970998313930942,0.8542641069646095,-0.11673420696633252
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,240,AG,1,0.9595846039692284,0.6929651688205191,-0.26661943514870934
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,315,SS,4,0.2529040460689928,0.26423201212782205,0.011327966058829242
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,359,DF,3,0.9999172819913081,0.9991175535265155,-0.0007997284647925929
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,498,AG,4,0.44311716628181436,0.3513843158318087,-0.09173285045000568
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,784,AG,4,0.6875633937297538,0.2774175899108682,-0.41014580381888566
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,1160,AG,5,0.3280399348285907,0.3932186776040618,0.06517874277547114
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,1265,DF,10,0.999999973689517,0.9999984931133021,-1.4805762148517587e-06
Qwen3-8B,Qwen3-0.6B,math500,test/counting_and_probability/1003.json_path_0,1459,DF,4,1.000000000007425,0.9999878090549104,-1.2190952514590236e-05
Qwen3-8B,Qwen3-0.6B,math500,test/geometry/465.json_path_0,1556,DF,1,0.9999992847447459,0.9977738457360431,-0.0022254390087027565
Qwen3-8B,Qwen3-0.6B,math500,test/geometry/465.json_path_0,1711,AG,1,0.2840736691442766,0.2572100444999203,-0.02686362464435632
Qwen3-8B,Qwen3-0.6B,math500,test/geometry/65.json_path_0,412,SS,9,0.3426816106805457,0.2615427251632977,-0.08113888551724802
Qwen3-8B,Qwen3-0.6B,math500,test/geometry/65.json_path_0,460,SS,5,0.37563647544851336,0.6340646939995261,0.2584282185510128
Qwen3-8B,Qwen3-0.6B,math500,test/geometry/65.json_path_0,853,AG,7,0.44361252775098275,0.10581696236507172,-0.33779556538591105
Qwen3-8B,Qwen3-0.6B,math500,test/geometry/686.json_path_0,88,DF,14,0.9999956470350705,0.9993158463364686,-0.0006798006986018512
Qwen3-8B,Qwen3-0.6B,math500,test/geometry/795.json_path_0,513,DF,2,0.9999990774948307,0.9998795464819699,-0.00011953101286088508
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/1063.json_path_0,705,AG,7,0.9524421409665234,0.9921202242154047,0.039678083248881335
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/1354.json_path_0,414,DF,1,0.9999969005680498,0.9997370934485875,-0.0002598071194622742
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/1981.json_path_0,373,SS,5,0.40733271372291896,0.8808149040066635,0.47348219028374455
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/2152.json_path_0,91,AG,1,0.8175273456743524,0.9561006335938276,0.1385732879194752
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/232.json_path_0,381,AG,4,0.6749396437426401,0.745625827911135,0.07068618416849481
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,166,AG,3,0.9881996683708525,0.8873382645051741,-0.10086140386567843
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,326,AG,3,0.4750491589647656,0.3374948512211818,-0.13755430774358385
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,337,AG,3,0.9024608685591017,0.9598152141292888,0.05735434557018715
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,503,DF,1,0.9994447931453926,0.32025131718144995,-0.6791934759639426
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,1208,AG,3,0.4416469496596419,0.3143168286242317,-0.1273301210354102
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,1543,AG,6,0.6398099747219421,0.26504661529340817,-0.37476335942853395
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,1623,DF,1,0.9999713905890374,0.9946369617336568,-0.005334428855380602
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,1663,AG,2,0.3955096382098718,0.21510360859570973,-0.18040602961416205
Qwen3-8B,Qwen3-0.6B,math500,test/intermediate_algebra/955.json_path_0,1746,SS,7,0.3775409340823767,0.651527984741763,0.2739870506593863
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/516.json_path_0,125,SS,7,0.2514373096701492,0.20371529230043764,-0.04772201736971157
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,125,SS,9,0.2841310269086293,0.7227488767436347,0.43861784983500546
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,518,DF,20,1.000000006386598,1.000000028574587,2.2187989001665187e-08
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,535,DF,5,1.0000000000008373,1.000000003406181,3.4053435626901774e-09
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,545,DF,17,1.0000000195835352,1.0000000462679752,2.668443999098713e-08
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,551,DF,14,1.0000000000115763,0.9999966068195759,-3.3931920003782423e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,555,DF,11,1.0000000002246896,0.9999195951613208,-8.040506336881581e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,559,AG,10,0.9916498416322419,0.9888816246242547,-0.0027682170079872392
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,566,AG,13,0.9999333373520556,0.9985502885742497,-0.0013830487778059286
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,574,DF,1,0.9985326633847073,0.9769179684234425,-0.02161469496126478
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,578,DF,14,1.0000000000023346,0.999999948610749,-5.139158554268164e-08
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,580,AG,3,0.8175743256650808,0.7979844639992729,-0.019589861665807895
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,582,DF,17,1.0000000002080405,0.9999987386869829,-1.2615210576161218e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,586,DF,13,0.9999996053929979,0.9998827937219842,-0.00011681167101373902
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,589,DF,2,0.9999997615893909,0.9999974243140303,-2.337275360586588e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,594,DF,5,1.0000000000009561,0.9999998839831018,-1.1601785432358014e-07
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,597,DF,2,1.0000000000000202,1.0,-2.020605904817785e-14
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,604,DF,2,1.0000000000000997,1.0000000012501529,1.2500531720860408e-09
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,609,DF,9,1.0000000000013027,0.9999996487602476,-3.5124105512984727e-07
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,613,DF,3,1.0000000000027365,1.0000000525144366,5.2511700099344694e-08
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,617,DF,3,1.0000000002172444,0.9999992100756635,-7.901415809419277e-07
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,627,DF,1,1.0,1.0,0.0
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,633,DF,7,0.999964596109668,0.9998833261647204,-8.126994494761508e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,639,DF,8,0.99999349816736,0.9962722097796851,-0.003721288387674937
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,641,DF,19,1.000000000932684,0.999999935440142,-6.549254194521126e-08
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,642,DF,1,0.9999599472811979,0.9989765638849637,-0.000983383396234161
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,644,DF,3,1.0000000000000215,0.9999566099194607,-4.3390080560867794e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,651,DF,3,0.9999994039728974,0.9998767527862662,-0.00012265118663123964
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,656,DF,1,1.0,0.9999572056975242,-4.279430247577931e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,678,DF,7,1.0000000014758965,0.9999983198662722,-1.6816096243266188e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,691,DF,11,0.9999998800248585,0.9999593169960489,-4.056302880961482e-05
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/737.json_path_0,692,AG,9,0.8815625656525566,0.7763589422872725,-0.1052036233652841
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/753.json_path_0,78,DF,1,1.0,0.9999902249342363,-9.77506576371745e-06
Qwen3-8B,Qwen3-0.6B,math500,test/number_theory/753.json_path_0,141,AG,3,0.7999512873952301,0.5428913189543413,-0.25705996844088885
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1172.json_path_0,708,SS,6,0.5504390722999691,0.21031197268055937,-0.3401270996194098
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1172.json_path_0,963,DF,4,1.0000000009858567,0.9999223112320839,-7.768975377286935e-05
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1172.json_path_0,1109,SS,2,0.31715029376743525,0.9700117522378767,0.6528614584704415
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1313.json_path_0,544,DF,2,1.0000000001493095,0.999950835320546,-4.916482876349271e-05
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1313.json_path_0,562,SS,1,0.09725955055270319,0.09010150688782245,-0.007158043664880737
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1313.json_path_0,683,DF,6,1.000000000004135,0.9999920278263726,-7.972177762272104e-06
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/1313.json_path_0,1278,AG,1,0.4327581937797684,0.5727795111407875,0.14002131736101914
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/285.json_path_0,923,SS,1,0.276790295550625,0.005355986626621541,-0.27143430892400344
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/285.json_path_0,1025,SS,3,0.24531583203539872,0.7220457462554888,0.47672991422009003
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/681.json_path_0,68,SS,2,0.31345203985722414,0.16845795966207477,-0.14499408019514937
Qwen3-8B,Qwen3-0.6B,math500,test/precalculus/990.json_path_0,103,AG,1,0.875921839828914,0.4567760444234302,-0.4191457954054838
